probe	filter_type	ar_method	period_number	period	amplitude	phase	phi	R_square	R2_adjust	coef_var	pvalue
258460_at	0	burg	1	22.42696629	0.149962457	2.147028642	-0.601515989	0.758536458	0.71024375	0.121327194	0.000820839
256387_at	1	mle	1	22.94252874	0.110120128	10.42009715	-2.853713385	0.758442861	0.710131433	0.094382348	0.000822431
266165_at	1	mle	1	22.05524862	0.161091577	21.53471547	0.148291516	0.758362533	0.71003504	0.133020987	0.000823799
262559_at	0	yule-walker	1	21.46236559	0.092131172	1.42371338	-0.416797252	0.758312152	0.709974583	0.074291986	0.000824658
254127_at	0	burg	1	23.48235294	0.18764236	10.12299963	-2.70861624	0.758071949	0.709686339	0.149845094	0.000828764
266022_at	0	mle	1	23.34502924	0.139489946	20.68966119	0.714677601	0.75807257	0.709687084	0.110907856	0.000828754
246831_at	1	mle	1	22.30167598	0.410611901	11.53360414	3.033753643	0.758037772	0.709645326	0.30926004	0.00082935
251133_at	1	yule-walker	1	23.48235294	0.158195612	12.76960414	2.866415732	0.757991317	0.70958958	0.13017437	0.000830147
248420_at	1	default	1	24	0.264461537	14.78636764	2.412123311	0.757937574	0.709525089	0.218397389	0.000831069
267492_at	0	yule-walker	1	21.57837838	0.093307576	13.66576852	2.303991205	0.757757329	0.709308795	0.077153358	0.000834167
245433_at	0	yule-walker	1	23.20930233	0.297105797	13.95894373	2.504242325	0.757752655	0.709303186	0.245885206	0.000834248
255842_at	0	yule-walker	2	"27.5310344828,20.9005235602"	"0.228119142865,0.221275062912"	"18.6955057997,3.59838299024"	-1.081757932	0.88357083	0.825356245	0.337565194	0.000833213
264584_at	0	burg	1	22.05524862	0.152386846	19.49618909	0.729034868	0.757636474	0.709163769	0.124791634	0.00083625
249007_at	1	yule-walker	1	23.62130178	0.238920076	17.29309693	1.683280798	0.757658203	0.709189844	0.207955672	0.000835876
245701_at	0	mle	1	21.93406593	0.329350721	0.404171946	-0.115778225	0.757430245	0.708916294	0.255598532	0.000839814
255298_at	1	burg	1	27.34246575	0.683026498	24.50089329	0.652981574	0.757371927	0.708846312	0.491795711	0.000840824
265942_at	0	mle	1	23.07514451	0.183367566	16.23506992	1.862499978	0.757276974	0.708732369	0.159175205	0.000842471
257641_s_at	1	mle	1	20.36734694	0.414870402	17.72310059	0.815731664	0.757272118	0.708726542	0.417783834	0.000842555
248529_at	0	mle	1	22.94252874	0.132349523	11.62432813	3.099673649	0.757092244	0.708510693	0.114390352	0.000845682
255960_at	1	yule-walker	1	22.42696629	0.11354513	0.636687731	-0.178375753	0.757101291	0.708521549	0.089130097	0.000845524
261346_at	1	default	1	24	0.180951139	2.97275111	-0.778264421	0.75705433	0.708465197	0.16169189	0.000846342
254790_at	0	default	1	24	0.083860959	3.367989142	-0.881737495	0.756833681	0.708200417	0.070171165	0.000850192
256149_at	0	mle	1	24.04819277	0.140063363	15.88441049	2.132990091	0.756691276	0.708029532	0.122684101	0.000852685
247741_at	0	mle	1	22.17777778	0.203390565	12.8188583	2.651475093	0.756668968	0.708002762	0.159964001	0.000853076
253310_at	1	burg	1	22.68181818	0.130267603	17.96759424	1.305906888	0.756701124	0.708041349	0.108909566	0.000852512
254505_at	0	mle	1	24.49079755	0.213042589	15.88575707	2.20764815	0.756611208	0.70793345	0.184976289	0.000854089
248042_at	0	burg	1	22.94252874	0.109786434	17.70865766	1.433380873	0.756434184	0.707721021	0.095034588	0.000857199
252974_at	0	mle	1	24.49079755	0.045478561	8.07942007	-2.072798706	0.756435089	0.707722107	0.036557846	0.000857183
252954_at	0	yule-walker	1	23.20930233	0.132741797	18.52853579	1.267169652	0.756165782	0.707398939	0.104883319	0.000861932
256787_at	0	mle	1	21.01052632	0.270799194	0.095307522	-0.028501657	0.756175126	0.707410151	0.329063667	0.000861767
