Probes	26	30	34	38	42	46	50	54	58	62	66	70	74
253360_at	0.9710712	1.0939119	1.0780802	1	0.9449303	0.9914905	1.0130893	1.2453736	1.0938123	0.99998415	0.96737057	1.0000055	0.99461526
260857_at	0.8825597	0.8354477	0.9825929	1.0216568	1.0758575	1.0088825	0.95395863	0.87589324	1	1.0075626	1.1447676	1.1540037	0.70784104
247109_at	0.70033497	0.6480179	0.7709565	1	1.2917433	1.0179614	0.8597328	0.62669104	0.86797756	1.7547357	1.3990688	1.5105478	1.169283
255494_at	1	0.42101234	1.0340044	1	1.2180107	1.236432	1	0.94513285	0.9635562	0.99911785	1.2684834	1	0.7556586
257860_at	1.0434321	1.0723695	1	0.9666959	0.9568896	1.0270458	1.1062813	1.03794	0.97327536	0.9730724	0.967461	0.908728	1.0403374
245482_at	1.0147119	1.0089197	0.98712534	1.2161217	1.0237657	0.97985184	0.85528415	0.9495196	1.0019578	1.1234308	1	0.83386886	0.9087511
259824_at	1.0970122	1.01515	0.99620175	0.9088334	1	1.0319763	1.0691746	0.92104924	0.9028447	0.99137646	1	0.98506993	1.1080257
264057_at	0.9625692	0.9841244	0.87714094	0.95282084	1.0457579	1.0365549	1	1.0249451	0.8588448	0.92773974	1.0160618	1.093849	1.2968299
263706_s_at	1.1378618	1.0552282	0.8043766	0.7878751	1.1100514	1.2006391	1.4714977	0.7874842	0.6633166	0.9751778	1	0.95099366	1.324617
248261_at	1.3201777	0.68789613	0.46205488	1.0296324	1.1138914	1.005017	0.9888803	0.60903853	0.84718746	0.99999994	1.2172741	0.9902446	1.098607
257190_at	0.7271444	0.99999994	1.008892	1.1002321	0.9382867	0.8894971	0.8720026	1.037007	1.1074243	1.0177206	1.0339893	0.9338292	0.7681843
262497_at	0.9971725	1.0214082	1.0518593	1.0022528	0.95406175	1	0.9526918	0.998854	1.0019754	0.9525236	0.93368286	1.0585619	1.083753
254785_at	1.5482188	1.0000542	0.87120837	1	1.296689	1.2273699	1.1583518	0.8514457	0.67852336	0.8448553	0.9737172	0.9998911	1.0244206
266660_at	0.87124765	1	1.1516408	1.104415	0.9996371	1	0.99019486	1.0329665	1.1160932	0.99527436	1	0.98620504	0.9864764
254270_at	0.97085494	0.8733906	1.003704	1.0497282	1.0373824	1.0067563	1	0.8295096	0.93564457	1.1632428	1.0250797	1	0.9928128
257790_at	1.0758173	1.0591841	0.95221186	0.959934	1.023724	1.0167048	1.0338475	1.0142062	0.93724585	0.90815306	0.8489041	0.9911134	1
266608_at	0.7774867	0.9808208	1.1873887	1.1526496	1	1.0018274	0.9747214	1.0359559	1.2983	1.0018274	0.97970015	0.9992876	0.8765352
252355_at	0.88415974	0.77889377	1.4261252	1.535152	0.9956003	0.8921485	0.6937143	1	1.5054152	1.0057789	1.0027828	1.1899976	0.9849279
